10.484235774378057,
8.747677444287133,
8.328913013065096,
8.03936550333146,
7.7936701415492475,
7.573929271983644,
7.372422537811583,
7.184682334795998,
7.007858513524825,
6.840300564993475,
6.681013067414164,
6.529389500191586,
6.385045645798865,
6.247715952739447,
6.117190148162679,
5.993275894725542,
5.875778433473101,
5.764491291190678,
5.659194080051259,
5.559654663630306,
5.465633788633802,
5.376890849749596,
5.292969387203261,
5.213300796280745,
5.137554772834342,
5.06542654878695,
4.996655028368691,
4.931018542876595,
4.8683321695430575,
4.808444989187113,
4.751236891567915,
4.696614930414846,
4.644509356476801,
4.5948694938371535,
4.547659627595563,
4.502855057979076,
4.460438453895781,
4.420396611433552,
4.382613575633309,
4.347000030199225,
4.313494650845466,
4.282031412833368,
4.252539196636045,
4.224941808417556,
4.1991583505601335,
4.175103870518259,
4.152690214214144,
4.131261791006722,
4.110657828709378,
4.090770788995787,
4.071497194567706,
4.052739269071048,
4.0344056748618335,
4.0164119063708945,
3.9986805085986763,
3.9811411726477286,
3.9637307269063182,
3.94639303485731,
3.9290788101007226,
3.9117453603309222,
3.894356272979765,
3.8768810555802276,
3.8592947435989355,
3.841577487653208,
3.8237141308289786,
3.8056937854033936,
3.7875094167754906,
3.7691574409148787,
3.7506373402177346,
3.7319513013555907,
3.7131038775409166,
3.6941016766273265,
3.674953075614051,
3.6556679614296566,
3.6362439973023166,
3.6166853885579453,
3.5970049741131307,
3.5772163795118574,
3.5573338675738544,
3.5373722073853457,
3.517346559829858,
3.4972723779089803,
3.4771653201868977,
3.457041175798349,
3.4369157995797215,
3.416805056010452,
3.3967247707817423,
3.3766906889375745,
3.3567184386561832,
3.3368234998562594,
3.3170211769197575,
3.2973265749215344,
3.2777545788445925,
3.2583198353386935,
3.239036736649559,
3.219919406406614,
3.200981687009519,
3.1822371283986173,
3.1636989780324423,
3.1453801719273966,
3.127293326641423,
3.1094507321055183,
3.091864345225055,
3.0745457841876114,
3.0575063234258515,
3.0407568891935215,
3.024308055720127,
3.0081700419157826,
2.9923527086022865,
2.976505889314793,
2.9604778409167585,
2.9442672675742165,
2.9277053381242526,
2.9107158831981947,
2.8933034705987577,
2.8754745844664695,
2.8572373945455936,
2.8386015509448628,
2.819577998082653,
2.800178804869013,
2.7804170093866505,
2.760306476801137,
2.739861769442391,
2.7190980281216066,
2.6980308638376256,
2.676676259103007,
2.6550504781879365,
2.6331699856389585,
2.611051372477468,
2.5887112895190385,
2.5661663872805924,
2.5434332619628623,
2.5205284070161826,
